Timestamp,Conductivity,NO3,Temp,Turbidity,Dayofweek,Month,hour,day,day_of_week,month,day_of_year,hour_sin,hour_cos,month_sin,month_cos,turbidity_lag_1,turbidity_lag_3,turbidity_lag_6,turbidity_lag_12,turbidity_rolling_mean_3,turbidity_rolling_mean_6,turbidity_rolling_std_6,no3_lag_1,no3_rolling_mean_3,temperature_lag_1
2017-05-12 02:00:00,21030.5,0.023,22.6,9.1,4,5,2,12,4,5,132,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,10.87,8.19,9.92,12.79,12.64,11.28,3.583897319957702,0.023,0.023,22.6
2017-05-12 03:00:00,17980.4,0.023,22.6,7.08,4,5,3,12,4,5,132,0.7071067811865476,0.7071067811865476,0.49999999999999994,-0.8660254037844387,9.1,17.95,12.33,11.93,9.016666666666666,10.405,3.9029565716261816,0.023,0.023,22.6
2017-05-12 04:00:00,14512.0,0.023,22.6,8.76,4,5,4,12,4,5,132,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,7.08,10.87,9.24,10.34,8.313333333333334,10.325000000000001,3.936387938199181,0.023,0.023,22.6
2017-05-12 05:00:00,13095.2,0.023,22.6,6.25,4,5,5,12,4,5,132,0.9659258262890683,0.25881904510252074,0.49999999999999994,-0.8660254037844387,8.76,9.1,8.19,24.02,7.363333333333333,10.001666666666665,4.2165360981102324,0.023,0.023,22.6
2017-05-12 06:00:00,26340.6,0.023,22.6,10.19,4,5,6,12,4,5,132,1.0,6.123233995736766e-17,0.49999999999999994,-0.8660254037844387,6.25,7.08,17.95,18.46,8.4,8.708333333333334,1.7730811224156278,0.023,0.023,22.6
2017-05-12 07:00:00,47302.3,0.023,22.6,14.67,4,5,7,12,4,5,132,0.9659258262890683,-0.25881904510252063,0.49999999999999994,-0.8660254037844387,10.19,8.76,10.87,12.99,10.37,9.341666666666667,2.972577445024211,0.023,0.023,22.6
2017-05-12 08:00:00,49623.9,0.023,22.6,12.87,4,5,8,12,4,5,132,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,14.67,6.25,9.1,9.92,12.576666666666666,9.97,3.29250664388092,0.023,0.023,22.6
2017-05-12 09:00:00,49886.6,0.023,22.6,16.36,4,5,9,12,4,5,132,0.7071067811865476,-0.7071067811865475,0.49999999999999994,-0.8660254037844387,12.87,10.19,7.08,12.33,14.633333333333333,11.516666666666666,3.803417761259821,0.023,0.023,22.6
2017-05-12 10:00:00,39859.7,0.023,22.6,9.92,4,5,10,12,4,5,132,0.49999999999999994,-0.8660254037844387,0.49999999999999994,-0.8660254037844387,16.36,14.67,8.76,9.24,13.049999999999999,11.709999999999999,3.662125066133051,0.023,0.023,22.6
2017-05-12 11:00:00,43074.7,0.023,22.6,12.83,4,5,11,12,4,5,132,0.258819045102521,-0.9659258262890682,0.49999999999999994,-0.8660254037844387,9.92,12.87,6.25,8.19,13.036666666666667,12.806666666666667,2.501300994815832,0.023,0.023,22.6
